Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19
2019/12/03 8:30:35 AM EST,Senior,21,Business related majors,Yes,Female,Yes,Stock;Fund;Saving account,Rates of return;Risk manageable;Easy entrance;Easy management,Newspaper/magazine;Friends recommend,No,No,2,Yes,Seminar;Webinar;Youtube tutorials,Yes,No,< $500,$500 - $1000,10% - 15%
2019/12/03 11:44:20 AM EST,Sophomore,20,History,No,Male,Yes,Stock;Insurance,Rates of return;Easy management,"Newspaper/magazine;Social media/Youtube;TV;Bank recommend(Text messages, phone calls, etc);Parents/family members",Yes,Yes,3,Yes,Seminar;Webinar;Investment mobile app,Partially,Prefer not to answer,$500 - $1000,< $500,<5%
2019/12/03 11:56:12 AM EST,Sophomore,19,"Literature, language and social science majors",No,Male,Yes,Stock;Bond,Easy entrance;Easy management,Social media/Youtube;Online advertisements;TV,Yes,No,3,No,Investment mobile app;Youtube tutorials,Partially,No,< $500,< $500,<5%
2019/12/03 12:03:16 PM EST,Sophomore,19,STEM majors,No,Male,Yes,Stock;Bond;Saving account,Rates of return;Risk manageable;Easy management;Others,Friends recommend,Maybe,No,1,Yes,Not Sure,Partially,Yes,< $500,< $500,<5%
2019/12/03 3:27:46 PM EST,Graduate program,28,STEM majors,Yes,Male,Yes,Stock;Saving account,Rates of return;Risk manageable;Easy entrance;Easy management,Newspaper/magazine;Social media/Youtube;Friends recommend;Online advertisements,Yes,Not Sure,3,Yes,Webinar;Youtube tutorials;Not Sure,No,No,$1000 - $ 2000,$500 - $1000,15% - 20%
2019/12/03 4:00:07 PM EST,Sophomore,20,STEM majors,No,Female,Maybe,Stock,Risk manageable;Easy management,"Bank recommend(Text messages, phone calls, etc);Parents/family members",Yes,Not Sure,1,Yes,Seminar;Webinar;Youtube tutorials,Partially,Yes,< $500,$500 - $1000,<5%
2019/12/03 4:00:26 PM EST,Sophomore,21,Business related majors,No,Male,I already have investments,Stock;Saving account,Rates of return;Risk manageable;Easy entrance;Easy management,"Newspaper/magazine;Social media/Youtube;Bank recommend(Text messages, phone calls, etc)",Maybe,No,3,Yes,Youtube tutorials,Yes,No,$500 - $1000,< $500,5% - 10%
2019/12/03 4:37:48 PM EST,Graduate program,22,Business related majors,No,Female,Yes,Stock;Saving account,Rates of return;Easy management,Newspaper/magazine;Friends recommend;Parents/family members;My own research,Yes,No,2,Yes,Webinar;Investment mobile app;Youtube tutorials,No,Yes,$500 - $1000,< $500,10% - 15%
2019/12/03 8:40:39 PM EST,Graduate program,23,STEM majors,Yes,Male,I already have investments,Stock;Others,Rates of return;Risk manageable,Newspaper/magazine;Social media/Youtube;Friends recommend;Parents/family members,No,No,3,No,Not Sure,No,No,$500 - $1000,< $500,5% - 10%
2019/12/04 12:36:11 PM EST,Graduate program,25,STEM majors,Yes,Male,Maybe,Stock;Saving account,Rates of return;Risk manageable;Easy management,"Newspaper/magazine;Social media/Youtube;Friends recommend;Bank recommend(Text messages, phone calls, etc)",Yes,Not Sure,3,Yes,Investment mobile app;Youtube tutorials;Not Sure,Partially,Yes,$1000 - $ 2000,$500 - $1000,10% - 15%
2019/12/04 3:10:33 PM EST,Graduate program,21,STEM majors,Yes,Male,Yes,Stock;Fund;Bond,Rates of return;Risk manageable,Newspaper/magazine;TV;Parents/family members,Yes,Yes,3,Yes,Seminar;Youtube tutorials,Yes,No,< $500,$500 - $1000,5% - 10%
2019/12/04 6:04:02 PM EST,Junior,20,STEM majors,No,Male,No,Not interested at all,Rates of return,Social media/Youtube;Friends recommend;Online advertisements;Parents/family members,No,No,1,Yes,Webinar,Yes,Yes,< $500,< $500,10% - 15%
2019/12/04 6:12:47 PM EST,Sophomore,19,Business related majors,No,Male,Yes,Stock;Fund;Saving account,Rates of return;Risk manageable;Others,"Social media/Youtube;Bank recommend(Text messages, phone calls, etc)",Yes,No,3,Yes,Seminar;Investment mobile app,No,Yes,< $500,< $500,5% - 10%
2019/12/04 6:43:13 PM EST,Senior,21,Other,Yes,Female,Yes,Stock,Rates of return,TV,Yes,Not Sure,3,Yes,Seminar,Partially,No,$500 - $1000,< $500,5% - 10%
2019/12/04 7:04:41 PM EST,Senior,21,Business related majors,Yes,Female,Yes,Stock,Rates of return;Risk manageable;Easy entrance,Newspaper/magazine;Social media/Youtube,Yes,Yes,1,Yes,Webinar;Youtube tutorials,Partially,No,$500 - $1000,$500 - $1000,<5%
2019/12/04 7:17:35 PM EST,Junior,21,"Literature, language and social science majors",Yes,Female,Maybe,Stock;Bond;Insurance;Saving account,Risk manageable;Easy entrance;Easy management,Newspaper/magazine;Social media/Youtube;Friends recommend;Online advertisements,Yes,Not Sure,1,Yes,Seminar;Investment mobile app;Youtube tutorials;Social media influencers,Partially,Yes,,,
2019/12/04 8:11:25 PM EST,Sophomore,20,Business related majors,No,Male,I already have investments,Stock;Saving account;Others,Risk manageable;Easy management,Social media/Youtube;Friends recommend;Online advertisements,Maybe,No,2,Yes,Youtube tutorials;Not Sure,No,Yes,< $500,< $500,10% - 15%
2019/12/04 10:32:25 PM EST,Junior,20,Social Work ,No,Female,No,Not interested at all,Rates of return;Risk manageable,"Social media/Youtube;Online advertisements;Bank recommend(Text messages, phone calls, etc)",Yes,No,3,Yes,Seminar;Webinar,Partially,Yes,$500 - $1000,$500 - $1000,5% - 10%
2019/12/05 12:32:43 PM EST,Junior,20,Business related majors,Yes,Male,Yes,Others,Rates of return;Risk manageable,Newspaper/magazine;Social media/Youtube,No,Yes,3,Yes,Seminar;Youtube tutorials,No,Yes,< $500,< $500,<5%
2019/12/05 7:12:30 PM EST,Senior,22,Business related majors,Yes,Female,Yes,Stock;Saving account,Rates of return;Risk manageable,"Bank recommend(Text messages, phone calls, etc);Parents/family members",Yes,No,4,Yes,Investment mobile app;Youtube tutorials,Partially,No,$500 - $1000,< $500,5% - 10%
